start	end	text
0.000	3.400	 Transmigré por accidente a una era con 6 millones de personas, y encima traía conmigo un supermercado espacial.
3.400	6.800	 No importa qué tanto consuma ahí adentro, los suministros se reponen de forma infinita.
6.800	9.800	 Esto me permitió, en esta época de tanta hambre, vivir la vida a todo dar.
15.620	17.420	 Pequeña, ¿quién eres?
18.020	19.820	 Mamá, papá despertó.
21.820	22.420	 Papá.
23.420	25.820	 ¿Desde cuándo tengo una hija tan grande?
26.420	30.820	 Vaya, no puedo creer que haya transmigrado con este clima helado que voy a hacer.
30.820	34.420	 Si no tengo un sistema o algo así, aguantará este cuerpo tan débil.
35.020	37.220	 Hace un momento estaba acomodando estantes en el súper.
37.220	39.020	 ¿Cómo terminé? ¿En este lugar maldito? ¿En un barbareo?
39.020	41.620	 ¡Madre mía! ¿Cómo se supone que voy a sobrevivir así?
43.530	45.530	 Xiaoyan, por fin despertaste.
45.730	48.330	 Mamá pensó que ya no aguantarías más.
49.130	51.530	 Mamá, ya estoy bien. No se preocupen.
52.530	54.130	 Solo me siento algo débil.
55.530	57.330	 Iré a casa de tu cuñado ahora mismo.
57.330	59.330	 Pediré un poco de maíz para hacerles avena.
68.770	69.970	 Ustedes también coman algo.
70.170	72.570	 Apenas despertaste y estás débil, cómetelo tú.
72.970	75.370	 Duoduo y yo solo tomaremos un poco de avena de maíz.
75.570	76.770	 Yo ya comí, es suficiente.
76.770	77.770	 Repartanse uno ustedes.
77.770	79.970	 Mira a nuestra hija, tiene hambre y tú acabas de despertar.
80.370	82.170	 Estás débil, cómetelo tú.
82.570	84.970	 Duoduo y yo tomaremos avena de maíz.
85.170	86.370	 Yo ya comí, es suficiente.
86.770	87.970	 Repartanse uno ustedes.
88.370	89.970	 Mira a nuestra hija, se muere de hambre.
96.870	98.870	 ¿Cómo le haremos para sobrevivir de ahora en adelante?
99.470	101.270	 Tampoco soy bueno para la agricultura.
101.670	104.070	 Hija, hijo, coman mientras esté caliente.
111.710	114.510	 Yueyue, casarte con nosotros fue un sacrificio.
114.710	116.510	 No tenemos nada en esta casa.
116.710	119.110	 Y aún así cuidaste Xiao Yang estos días sin descanso.
119.310	120.710	 De verdad, te lo agradezco mucho.
121.110	122.310	 Mamá, no diga eso.
122.510	123.910	 Si no fuera por ustedes, ya me había vuelto de hambre.
124.110	125.910	 Me ayudaron incluso trabajando duro en el campo.
126.110	129.110	 Poder cocinar en casa ahora y cuidar a los niños ya es una gran bendición.
129.310	131.310	 Hace poco, le escribí a mi madre en la capital.
131.510	132.510	 Me dijo que en la ciudad también falta comida.
132.710	133.710	 La situación está igual de difícil.
133.910	134.910	 Debería ser yo quien les agradezca.
135.110	137.910	 Nunca me hicieron el feo por dar a luz a Duoduo.
138.110	139.110	 Duoduo es adorable.
139.310	140.110	 La quiero demasiado.
140.310	141.310	 ¿Cómo voy a despreciarla?
141.510	142.310	 No se preocupen.
142.510	143.910	 Luego tendrán otro bebé.
148.740	150.340	 Xiao Yang, al fin despertaste.
150.540	152.340	 Sí, nos tenías muy preocupados.
152.540	154.140	 Hermano, al fin despertaste.
154.340	155.740	 Papá, hermano.
155.940	160.260	 Hermana, ya estoy bien.
160.460	161.660	 Si a ti te hubiera pasado algo.
161.860	163.460	 ¿Qué habría sido de nuestra familia, Gao?
163.660	166.060	 Eres el único hijo varón de esta familia.
166.260	167.260	 Todo es culpa de tu cuñado.
167.460	169.060	 Si no te hubiera llevado a casa, a Hinsan,
