start	end	text
0.000	3.280	 del pueblo, hablando de la siembra de primavera.
3.280	6.040	 Debe estar por llegar.
6.040	8.560	 Hermano, me compraste los zapatos.
8.560	11.640	 Te estuve esperando toda la tarde.
11.640	22.620	 Sí, sí, no te preocupes.
22.620	28.720	 Guau, qué bonitos zapatos nuevos.
28.720	33.400	 Traje tela para ustedes para que hagan abrigos nuevos.
33.400	42.410	 Y leche en polvo para que Duobo y mamá se fortalezcan.
42.410	45.410	 Esta tela, esta tela solo se consigue en la tienda
45.810	47.170	 y solo con cupones.
47.170	48.850	 Qué difícil es de hallar.
48.850	51.570	 Hermano, ¿acaso robaste?
51.570	54.170	 ¿Cómo conseguiste tantas cosas buenas?
54.170	57.810	 Robar, las compré en la tienda.
57.810	60.930	 Hoy en el mercado negro conocí a unos comerciantes
60.930	61.810	 foráneos.
61.810	63.770	 Entregué suministros a la fábrica textil.
63.770	66.570	 Cané un buen dinero y compré esto.
66.570	69.250	 Además, ya entré a trabajar a la fábrica.
69.250	71.130	 Soy comprador oficial.
71.130	76.370	 Comprador, te volviste empleado de Ciudad.
76.370	84.180	 CISP oficial, con plaza y prestaciones.
84.180	85.660	 Bueno, ya está caliente.
85.660	87.860	 A comer, mamá.
87.860	89.140	 Hay mucha comida.
89.140	90.300	 ¿Por qué no comen?
90.300	92.220	 Hermana, llama a tu cuñada.
92.220	93.820	 Preparen leche en polvo para todos.
93.820	94.940	 Y también duraznos en amíbar.
94.940	95.860	 Son cosas de calidad.
95.860	96.860	 Coman, diála.
96.860	98.140	 ¿Por qué me miran?
98.140	100.420	 Solo conseguí un trabajo de comprador, nada más.
100.420	103.820	 Mamá, cálientale el agua para la leche.
103.820	106.260	 Iré por mi cuñada.
106.260	111.370	 Fresca, como una flor de durazno.
111.490	115.090	 Sióyan, ¿de verdad eres comprador en la fábrica?
115.090	119.530	 CISP oficial, con plaza y sin horario fijo.
119.530	124.310	 Solo entrego mercancía cada 15 días.
124.310	128.230	 Rúduo con su madre y mamá con mi hermana.
128.230	131.950	 Mamá, tía, esto está delicioso.
131.950	134.190	 ¿Por qué no comen ustedes?
134.190	137.230	 ¿Por qué miran a papá?
137.230	142.180	 Ayenene, jaja.
142.180	145.260	 Llevaba años sin comer duraznos en amíbar.
145.260	147.780	 No pensé volver a probarlos hoy.
147.780	150.700	 Sióyan, si trabajas en la ciudad,
150.700	152.580	 ¿qué pasará con Duelo y Duobo?
152.580	155.180	 Seguirán a vivir allá o se quedan aquí.
155.180	157.540	 El registro de la niña sigue en el pueblo.
157.540	159.980	 La escuela será un problema, mamá.
159.980	161.180	 No se preocupen.
161.180	163.180	 Compré una casita en la ciudad.
163.180	165.100	 Mañana haré el cambio de papeles.
165.100	167.740	 Ellas ya tendrán registro urbano.
167.740	170.460	 Quiero que Duobo estudie en la ciudad.
170.460	176.620	 ¿Cómo no me las voy a llevar?
176.620	178.780	 Hermano, compraste una casa.
178.780	179.980	 ¿De dónde sacaste el dinero?
179.980	182.460	 Hoy trabajo, comida, casa.
182.460	183.500	 Es demasiado increíble.
183.500	185.020	 Casi no te reconozco.
185.020	186.500	 No oladas escándalo.
186.500	188.580	 Anoche fui a vender cordero.
188.580	191.340	 Conocí al jefe de compras, Ding Xianwei.
191.340	192.780	 Le vendí la carne.
192.780	194.060	 Y así obtuve el empleo.
194.060	196.620	 El viejo yú de la fábrica quería mudarse rápido con
196.620	197.380	 su lijo.
197.380	198.460	 Por eso la vendía urgente.
198.460	199.980	 El precio fue muy bueno.
199.980	202.900	 Puedo pagar poco a poco con mis ahoros y mi sueldo
202.900	203.620	 anual.
203.620	205.260	 Casi quedará saldada.
205.260	207.060	 Es verdad lo que dices.
207.060	209.900	 ¿Realmente tendremos registro en la ciudad?
209.900	211.940	 ¿Duobo podrá estudiar allá?
211.940	213.660	 Claro que sí.
213.660	215.860	 Mañana mismo hacemos los trámites.
215.860	218.820	 Nos mudaremos a la ciudad.
